email_id,date,subject,body_preview,word_count,num_links,num_exclamations,capital_ratio,special_char_ratio,has_html,email_length,sender_score,label
EML05269,6/1/2020,New feature release,r h c i o c z l schedule u o t s v k f k forward x n m z v s a attached p h v z,30,0,9,0.1,0.3667,True,79,83.42, ham
EML03462,4/2/2022,Your order has shipped,update t k n y t agenda p r h n m n discuss y p n i i x s best attached m o x agenda y b r report b d j x q c q w g z d ,130,0,10,0.02,0.2154,false,316,18.71,no
EML00655,,  Click here to claim prize  ,s m e f b h a l e a o v g f b a o l q o v y l v offer y q l free n cheap d w j f exclusive x p c d n click u z f n p b h,195,4,24,0.46,0.0205,False,451,58.18,1
EML04616,5/10/2020,Book club meeting,z thanks s v a e v u h o f f s i i d q m team p n k p,23,0,18,0.02,0.7391,False,53,87.66,ham 
EML04645,4.2.2024,Meeting tomorrow at 3pm,u n p e v r s w p c b r n v r b y p h o best f discuss j r f u t v k q u t m w f y l u f o c k p f p w g t w b o n j f s,153words,1,2,0.19,0.0131,True,343,26.33,HAM
EML03433,27/7/2020,You have been selected!,h w b n z c click f x c p y w exclusive k z o i s e x e m c m j o k r winner g u r m d s n e f b y o m s t v congratulat,104,9,29,0.38,8.7%,False,252,50.35,1
EML01263,2022-03-19,Work from home $5000/week,q l e q q l q f y x b g q b d k v g f n d i g h c w a z u j free w click p n t t d g m earn r j y l u r a r g w offer i ,178,3,9,0.43,0.0337,False,418,12.93,1
EML03610,12-7-2020,WIN $1000 NOW!!!,e click p x p m z f d e i y o i b p w m y p w p guaranteed q j u w u v l s w o i s k q b e o z d c b u o y prize k o w w,247,10,28,0.37,0.0688,True,,61.12,spam 
EML04399,23/6/2021,Thank you,e k k d b o n a regards h f o q n update d k u v d a r z z x meeting l f j y k m m l z s x i i l v a g d e l p r l updat,161,2,0,0.07,0.0994,True,399,40.68, ham
EML04949,1/9/2024,Work from home $5000/week,p w v i p t o buy t g y b m profit o y s w limited l h t j d p h b m l l m b q k t z l j l o p g g b g x t o a z winner ,218,1,32,0.68,0.0275,True,513,41.34, spam
EML00590,17/1/2020,Team lunch Friday,j j q u m n t h b b q y h f t c k o g t p v d h n s f o k v b c p i g r y q x a h y m b q c r u o o t u q n v i m i a o ,195,2,4,0.12,0.1385,True,487,3.32,ham 
EML05041,18.12.2024,Job application received,o o r x n i f i y u v i z d z j x m x v v please f d m v m n x y z r s w regards forward p o d u j c g p s b a f k,49,0,7,0.19,0.2449,True,,39.93,HAM
EML02300,2023-12-18,Act now before its too late,y e x y q cash c v z r u p n p o u b j v k x w g i n p z e x m l p a f v b u p profit z offer o j b n z n x s i s e y i ,66,8,23,0.57,0.3788,1,150,,YES
EML04630,2022-09-07,Invoice attached,o u c x k c y t m n best s o n w l p n l y q s v s m e q k x o e u y z g o i z b t w d c g s n e u l f x y s k r q i upd,63,1,19,0.16,0.4603,False,133,41.26,ham 
EML00408,11-18-2023,Your order has shipped,n g b g r n f o n w u agenda v c u p e a v b l f n a q best i d o s h schedule m e n h j n z g g t update meeting r k f ,178,0,15,0.14,0.0955,False,445,4.05,ham 
EML04116,,Happy Birthday!,f c x e e d h v e g p p x n v p n z z i r y b h b m c r d l v g s u q c d f best follow discuss m w n b l m q confirm r ,55,2,16,0.07,49.1%,False,134,7.44,Ham
EML03727,1.11.2022,New feature release,c k l u m z h z x x d please m c v f i r w r x v u l f j s f a v r z u y c k z r j a d g a d p n k k w update q y regard,197,0,16,0.04,3.0%,True,487,84.05, ham
EML02281,2022-09-12,Quarterly report,l w e c l project n e j c report s a w h m e l v p a t k b d l team team w c y w b g q w v n c a r p l v c o r a i f m j,188,1,16,0.09,0.0479,True,442,53.14,Ham
EML00277,,Your order has shipped,n k e a r b w n d h k e x y t j u g x b confirm n t v x forward x r t f meeting g a w h j forward f m t v a h d s e x l ,171words,1,2,0.07,0.0292,True,421,90.18,No
EML05203,6-15-2021,Buy now limited offer,s e p f y urgent e a l profit y c q i v b m i g k k e q u l g click v free l i u l g j b s m o b q q z j a a offer h q o,140,9,6,0.65,0.1857,False,339,136.98,1
EML02854,19.11.2021,Happy Birthday!,e i d k b w y e g a d k v n a o c w b g t z q a i n x j q regards q schedule a z t q z c l e z document h u p h regards ,73,0,14,0.08,0.1781,False,182,9.53,Ham
EML01418,18/5/2020,Conference call notes,n g y r m f a discuss p t f r o e u project h x q e v y t g p l e w i w i x v l meeting t agenda document h r p b w h m ,123,1,10,0.03,0.1951,True,297,,ham 
EML04869,12-4-2021,Lottery winner notification,y i c c f c q q e j s t h q v e c t u earn w b c b o t z v e money i u q b e j h a i a q k s e m w m v u t b o cheap h x,237words,9,38,0.3,0.0295,True,529,57.04,YES
EML05087,11-27-2023,Report draft for review,j agenda n y z m agenda c z attached i g m u i z g x b t h r q schedule v o y discuss q a l r s m m i o,37,1,8,0.05,0.0541,False,,29.91,No
EML01037,,Report draft for review,s y g f a j s g l m w v a i y l r b p s d c g h d d m e n a report w f f l h l w f b w m w s i k u g b z e w w r o u f e,77,2,2,0.03,0.2987,False,164,74.57,ham
EML03723,2020-06-16,Hot singles in your area,p x g b h win o p e cheap c d u k b v b k q k u y m money k f c h z y f q opportunity m c k m j d n i x s t d i z exclus,295,1,35,0.63,0.0814,False,692,80.28,spam 
EML02362,,Re: your inquiry,g j a i y t m d e w v o z k i z n q m w r v u i o t a p k w z q v u j g p d w x y e f o v k y z s u e p y w o d g p,58,1,17,0.05,0.0172,1,115,8.19, ham
EML02564,,Team lunch Friday,r d a u c m l p b z d q e l v forward m a w discuss thanks e c a u t m b meeting m p j d a s z a s l e x f o g w t b h y,60,1,11,0.13,0.1,True,148,51.9,No
EML00374,18.11.2020,New feature release,v agenda w k k f t d agenda t c n d j t attached m n q y feedback f y a s s x confirm c o a q i n w t w y f r a r l o l ,127,1,0,0.02,0.0709,True,300,77.64,Ham
EML02694,3/10/2024,  Act now before its too late  ,k f limited x r p l z o z b m j v e x buy c b b z g q f a c r l v g b f t i z d a a w j q b o x guaranteed e d w j buy o,116,1,39,0.77,0.1638,True,266,20.57,yes
EML03100,,Exclusive deal just for you,h r m free q k n m y w u h k t e j b q y p e a guaranteed p q y x s s d p c s c i h u limited c u n a y q a u q j o w p ,145,1,41,0.61,0.1862,False,345,37.52,Yes
EML03389,9.6.2024,Report draft for review,h e o b d a p w l review n k s l k o s f q r x t o k y w m e h document f r document f b c g v meeting o k s confirm w n,52,0,18,0.09,0.1538,YES,134,15.56,ham 
EML04761,,Re: your inquiry,u looking z d p o q v c w c c e n l g m m g q s l q n v n h project z s i o m v r v e i i k l v project q r t l k y k g ,178,1,14,0.15,0.0056,False,416,,0
EML01861,5-6-2020,Weekend plans,b l k h forward t w a z z team b j n g z follow m k w q discuss s y i n t g e w i l b w b report u n q i o i e i f j z i,92,2,5,0.13,0.1522,True,240,50.38,no
EML04665,19/6/2020,Project update,q review j o u schedule r x s p k d e a u i g o s l i q v please z m regards z j j h v y z s s o e n thanks g i attached,152,1,5,0.16,0.0066,True,368,61.89,HAM
EML00090,2020-08-09,Free iPhone giveaway,e q w x q c t h c o q i r m c j j r k g k t b o a congratulations a p y c r t r g g i z m x a s t selected l n x c a n s,172,8,18,0.43,2.3%,True,370,96.64,SPAM
EML01938,4-5-2022,Happy Birthday!,a b q a y attached g v j d u o q g l p y n o u s q z q r u v v i c d k q f a o l s o m r t f y k p s e e s z w t n t d x,64words,0,5,0.19,0.1719,True,137,,Ham
EML05462,6/2/2022,FREE GIFT for you,c l r h g l g p c a z i cheap y l a n r c h z d h b u e x z h o l j v r u x a l q h c b q k a z s o i t n click exclusiv,267,2,48,0.37,0.0787,True,680,50.01, spam
EML04390,4-9-2020,Click here to claim prize,h f b r k d z b g o i v c discount v v o c l k n q h j d b k z free b congratulations b k t d k r z m l z i prize k win ,238,2,16,0.77,0.0042,False,567,70.93,Yes
EML05424,,Meeting tomorrow at 3pm,h u d looking k t m o f z w feedback u j x w y a c e k p u e f p x t l y t o v u l b u discuss z z f e d a x e u a e p t,179,1,20,0.13,0.1173,1,430,98.52,Ham
EML01329,4.9.2023,Project update,z d y regards y n team c z s a agenda t q i u s a e s b j j c p f g m n y r c r l m v t a v z q o r v k w q v q t w f do,114,2,5,0.02,11.4%,True,260,58.41,Ham
EML05139,6-28-2023,Exclusive deal just for you,exclusive u y a c i j l y o c g r v y z h u l y q n w y y a b x l t j e f b t p i t f x e v l x f offer i winner w h m b,237,6,20,0.49,3.4%,True,533,31.28,spam
EML04727,7/5/2020,FREE GIFT for you,q q exclusive h t y g winner o i e x h t l p h a w selected j r j n i d i n u r z l f g t l profit g z r p c d opportuni,288,8,30,0.3,0.0938,True,715,85.95, spam
EML04240,,Work from home $5000/week,p b q k s j i h w w n c j u k y o e z w i u y o l i c o n e t urgent g n s earn y o h l k f z g k l a r j free r j m u o,236,9,50,0.4,0.072,YES,,12.11,Spam
EML03300,13.4.2024,Reminder: dentist appointment,n h k r g l l looking c looking k schedule f a e a r z o u u i y r k s v d a report f o c f r report a y u c q z j u v h,143,2,19,0.04,0.1888,True,364,,No
